jxbmc,rlzt,kkbm_id,jxb_id,kch_id,zhxs,kch,kkxy,xqm,kcmc,totalresult,njmc,xqh_id,xsmc,xiaoqmc,zymc,xf,jxbzc,kcxzmc,xnmc,zxs,xnm,rlztmc,xqmmc,xsdm,row_id,js,xkrs,skyy,kcdm,kcap,rkjs,jsxx,kkbm,xs,nj,sftsk,xkbz,kzmc
(2025-2026-1)-PHY1252-16,-1,07200,33ED4C6761D84F64E065F8163EE1DCCC,AB01125A0F0B0D55E055F8163ED16360,4,PHY1252,物理与天文学院,3,大学物理(A类）（2）,2995,2024,02,理论,闵行,"材料科学与工程(徐祖耀荣誉班),材料科学与工程-应用物理学,材料科学与工程专业,船舶与海洋工程-数学与应用数学,工业工程,海洋科学(物理海洋与观测技术),航空航天工程,航空航天工程(试点班),核工程与核技术专业,机械动力类,健康科学与技术,可持续能源,智慧能源工程,智慧能源工程(产教融合培养班),溥渊未来平台",4.0,2024材料科学与工程(徐祖耀荣誉班);2024材料科学与工程-应用物理学;2024材料科学与工程专业;2024船舶与海洋工程-数学与应用数学;2024工业工程;2024海洋科学(物理海洋与观测技术);2024航空航天工程;2024航空航天工程(试点班);2024核工程与核技术专业;2024机械动力类;2024健康科学与技术;2024可持续能源;2024智慧能源工程;2024智慧能源工程(产教融合培养班);2024溥渊未来平台,限选,2025-2026,64(64),2025,未做,1,01,2763,东下院305;东下院305,4,中文,PHY1252,星期二第3-4节{1-16周};星期四第1-2节{1-16周}|东下院305;东下院305|Tuesday Section 3-4{Week 1-16};Thursday Section 1-2{Week 1-16}|东下院305;东下院305,15354|冯发波,15354/冯发波/副教授[物理与天文学院],物理与天文学院,64,2024,否,,
(2025-2026-1)-MARX1205-03,-1,23000,34104D0B33E17204E065F8163EE1DCCC,MARX1205,2,MARX1205,马克思主义学院,3,形势与政策,2995,2024,02,理论,闵行,"材料科学与工程(徐祖耀荣誉班),材料科学与工程-应用物理学,材料科学与工程专业,电子科学与技术,法语,海洋科学(化学、生物与地质海洋),临床药学,信息安全,行政管理(城市管理),行政管理(政治学与公共行政),药学专业",0.5,2024材料科学与工程(徐祖耀荣誉班);2024材料科学与工程-应用物理学;2024材料科学与工程专业;2024电子科学与技术;2024法语;2024海洋科学(化学、生物与地质海洋);2024临床药学;2024信息安全;2024行政管理(城市管理);2024行政管理(政治学与公共行政);2024药学专业,必修,2025-2026,8(8),2025,未做,1,01,1793,东下院415,100,中文,MARX1205,"星期三第9-10节{3周,7周,11周,15周}|东下院415|Wednesday Section 9-10{Week 3,7,11,15}|东下院415",15759|魏旭,15759/魏旭/讲师(高校)[马克思主义学院],马克思主义学院,8,2024,否,,
(2025-2026-1)-PHY1222-03,-1,07200,33EF0B00E1748FB5E065F8163EE1DCCC,PHY1222,4,PHY1222,物理与天文学院,3,大学物理实验（2）,2995,2024,02,实验,闵行,"信息安全,智慧能源工程,自动化,溥渊未来平台",1,2024信息安全;2024智慧能源工程;2024自动化;2024溥渊未来平台,必修,2025-2026,24(24),2025,未做,1,02,2730,不排教室,197,中文,PHY1222,星期四第11-14节{3-9周}|不排教室|Thursday Section 11-14{Week 3-9}|不排教室,09752|王宇兴,09752/王宇兴/副教授[物理与天文学院],物理与天文学院,24,2024,否,前2周为实验准备，第3周正式上课。第1周周三下午为线上绪论课，绪论课信息及课程安排，通过Canvas通知或物理实验选课网站发布。( http://pec.sjtu.edu.cn/pe)。 咨询电话 54742960，办公室：理科群楼3号楼303/211，或在Canvas系统邮件咨询。,
(2025-2026-1)-NIS3301-02,-1,03300,3481CD5C8ED2ECD6E065F8163EE1DCCC,FF4040F7F519F8D3E055F8163EE1DCCC,4,NIS3301,计算机学院,3,系统安全,2995,2023,02,理论,闵行,信息安全,2,2023信息安全,必修,2025-2026,32(32),2025,未做,1,01,2416,陈瑞球楼111;陈瑞球楼111,50,中文,NIS3301,星期三第3-4节{1-8周};星期五第9-10节{1-8周}|陈瑞球楼111;陈瑞球楼111|Wednesday Section 3-4{Week 1-8};Friday Section 9-10{Week 1-8}|陈瑞球楼111;陈瑞球楼111,64711|唐鹏,64711/唐鹏/助理研究员[电子信息与电气工程学院],计算机学院,32,2023,否,,
(2025-2026-1)-NIS4334-01,-1,03300,348467E0C55415FBE065F8163EE1DCCC,BE2DF9FF5AC0475DE055F8163EE1DCCC,2,NIS4334,计算机学院,3,量子计算机与量子密码,2995,2022,02,理论,闵行,信息安全,2,2022信息安全,限选,2025-2026,32(32),2025,未做,1,01,2437,东中院3-304;东中院3-105,11,中文,NIS4334,星期三第11-12节{1-8周};星期五第9-10节{9-16周}|东中院3-304;东中院3-105|Wednesday Section 11-12{Week 1-8};Friday Section 9-10{Week 9-16}|东中院3-304;东中院3-105,64055|王更,64055/王更/副研究员[电子信息与电气工程学院],计算机学院,32,2022,否,,
(2025-2026-1)-PHY1222-05,-1,07200,33EF0B00E2F08FB5E065F8163EE1DCCC,PHY1222,4,PHY1222,物理与天文学院,3,大学物理实验（2）,2995,2024,02,实验,闵行,"储能科学与工程,工业工程,信息工程",1,2024储能科学与工程;2024工业工程;2024信息工程,必修,2025-2026,24(24),2025,未做,1,02,2733,不排教室,191,中文,PHY1222,星期一第11-14节{3-9周}|不排教室|Monday Section 11-14{Week 3-9}|不排教室,09752|王宇兴,09752/王宇兴/副教授[物理与天文学院],物理与天文学院,24,2024,否,前2周为实验准备，第3周正式上课。第1周周三下午为线上绪论课，绪论课信息及课程安排，通过Canvas通知或物理实验选课网站发布。( http://pec.sjtu.edu.cn/pe)。 咨询电话 54742960，办公室：理科群楼3号楼303/211，或在Canvas系统邮件咨询。,
(2025-2026-1)-NIS4335-01,-1,03300,3482FEBC72591F73E065F8163EE1DCCC,BDA7B9547C473A81E055F8163EE1DCCC,2,NIS4335,计算机学院,3,信息安全综合实践（2）,2995,2023,02,实验,闵行,信息安全,2,2023信息安全,限选,2025-2026,32(32),2025,未做,1,02,2438,东中院3-105,55,中文,NIS4335,星期一第7-8节{1-16周}|东中院3-105|Monday Section 7-8{Week 1-16}|东中院3-105,64818|侯勤胜,64818/侯勤胜/无[计算机学院];11935/陈力波/高级工程师[网络信息中心],计算机学院,32,2023,否,,
(2025-2026-1)-AU3304-03,-1,03200,335488D2A01E5A92E065F8163EE1DCCC,AU3304,2,AU3304,自动化与感知学院,3,数字图像处理基础,2995,2023,02,理论,闵行,自动化,2,2023自动化,必修,2025-2026,32(16/16),2025,未做,1,01,195,陈瑞球楼108,23,中文,AU3304,星期二第7-8节{1-16周}|陈瑞球楼108|Tuesday Section 7-8{Week 1-16}|陈瑞球楼108,08693|周越,08693/周越/副教授[电子信息与电气工程学院],自动化与感知学院,32,2023,否,,
(2025-2026-1)-MATH1207-02,-1,07100,33E8FE6267F2ECF8E065F8163EE1DCCC,MA1207,3,MATH1207,数学科学学院,3,概率统计,2995,2024,02,理论,闵行,"电气工程及其自动化,工程力学,生物医学工程,生物医学工程(智能医学工程)",3,2024电气工程及其自动化;2024工程力学;2024生物医学工程;2024生物医学工程(智能医学工程),必修,2025-2026,48(48),2025,未做,1,01,1877,东下院305;东下院305,66,中文,MATH1207,星期一第1-2节{1-16周};星期四第9-10节{1-15周(单)}|东下院305;东下院305|Monday Section 1-2{Week 1-16};Thursday Section 9-10{Week 1-15(S)}|东下院305;东下院305,195043|钱成德,195043/钱成德/助理研究员[数学科学学院],数学科学学院,48,2024,否,,
(2025-2026-1)-MARX1203-18,-1,23000,340F0C19DBDE4F65E065F8163EE1DCCC,MARX1203,3,MARX1203,马克思主义学院,3,毛泽东思想和中国特色社会主义理论体系概论,2995,2023,02,理论,闵行,"船舶与海洋工程(HJ联培专项),船舶与海洋工程(含智能海洋装备与技术),船舶与海洋工程(旭华试点班),电气工程及其自动化,海洋科学(物理海洋与观测技术),计算机科学与技术",3,2023船舶与海洋工程(HJ联培专项);2023船舶与海洋工程(含智能海洋装备与技术);2023船舶与海洋工程(旭华试点班);2023电气工程及其自动化;2023海洋科学(物理海洋与观测技术);2023计算机科学与技术,必修,2025-2026,48(48),2025,未做,1,01,1755,东上院312,90,中文,MARX1203,星期五第6-8节{1-16周}|东上院312|Friday Section 6-8{Week 1-16}|东上院312,11613|张娅,11613/张娅/讲师(高校)[马克思主义学院],马克思主义学院,48,2023,否,,
